id,ra,dec,B_mag,B_mag_unc,V_mag,V_mag_unc,g_mag,g_mag_unc,r_mag,r_mag_unc,i_mag,i_mag_unc,z_mag,z_mag_unc,J_mag,J_mag_unc,H_mag,H_mag_unc,K_mag,K_mag_unc,G_mag,G_mag_unc,Bp_mag,Bp_mag_unc,Rp_mag,Rp_mag_unc,parallax,parallax_unc,GaiaID
EPIC204658292,243.706874,-21.42363,15.819,0.07,14.921,0.044,15.344,0.043,14.442,0.049,14.025,0.072,,,12.731,0.024,12.169,0.023,12.073,0.024,14.4924,0.0004,15.1241,0.0022,13.7405,0.0024,0.0026976,4.61e-05,6243022938002285568
EPIC204676499,245.813907,-21.346094,15.948,0.09,14.855,0.043,,,,,,,,,13.01,0.024,12.492,0.022,12.421,0.023,14.6666,0.0003,15.2284,0.0022,13.9517,0.0011,0.0017587,3.92e-05,6052219737432355584
EPIC204750116,238.819727,-21.026837,12.672,0.322,11.373,0.121,12.145,0.01,11.498,0.04,11.26,0.05,,,10.109,0.026,9.724,0.026,9.623,0.023,11.5285,0.0005,12.0034,0.0009,10.9059,0.0006,0.0053129,4.19e-05,6246622017519183616
EPIC204763194,239.941862,-20.969925,10.439,0.033,10.015,0.032,,,,,,,,,8.776,0.027,8.516,0.053,8.474,0.023,9.7823,0.0003,10.094,0.0008,9.32,0.0012,0.0078109,0.0011413,6246650463081491584
EPIC204884005,249.331459,-20.428377,,,,,,,,,,,,,10.02,0.024,9.524,0.023,9.417,0.021,11.573,0.0005,12.1406,0.0019,10.8894,0.001,0.0085781,4.3299999999999995e-05,4130211147935185024
EPIC204890128,244.141811,-20.400533,,,,,,,,,,,,,10.306,0.024,9.826,0.024,9.664,0.021,12.1478,0.0003,12.7697,0.0017,11.3952,0.0015,0.007217299999999999,5.89e-05,6244643373326639360
EPIC204914585,242.057956,-20.288393,13.629,0.03,12.768,0.01,13.139,0.02,12.495,0.01,12.215,0.04,,,11.018,0.023,10.657,0.026,10.546,0.023,12.5085,0.0001,12.9961,0.001,11.8662,0.0007,0.0029308999999999997,4.53e-05,6244117639267067008
EPIC205029914,249.025271,-19.744626,12.9,0.345,12.293,0.267,,,,,,,,,,,,,,,11.7728,0.0003,12.2624,0.0013,11.1278,0.0009,0.0046969,4.3299999999999995e-05,4131047326528868352
EPIC205040048,242.168495,-19.695844,17.393,0.15,16.07,0.07,16.822,0.03,15.551,0.03,14.203,0.01,,,12.226,0.026,11.673,0.027,11.453,0.024,14.9533,0.0007,16.3408,0.0053,13.794,0.0019,0.0109563,6.24e-05,6245720108744660480
EPIC205050711,252.663617,-19.643932,11.329,0.061,10.818,0.059,11.09,0.03,10.603,0.04,10.373,0.06,,,9.546,0.026,9.325,0.025,9.233,0.023,10.5502,0.0004,10.8702,0.0009,10.0879,0.0008,0.0014341,4.66e-05,4130545369413498368
EPIC205064326,251.888433,-19.579313,14.702,0.049,13.379,0.033,14.058,0.034,12.877,0.041,12.317,0.061,,,10.629,0.026,9.975,0.027,9.794,0.023,12.8641,0.0003,13.6876,0.0013,11.9769,0.0008,0.0010498,7.099999999999999e-05,4130592918989329152
EPIC205071984,252.426083,-19.542821,13.278,0.042,12.307,0.03,12.788,0.031,12.03,0.04,11.669,0.06,,,10.404,0.024,9.993,0.025,9.821,0.019,12.0036,0.0003,12.5502,0.001,11.3201,0.0006,0.0063137,5.18e-05,4130539180358512768
EPIC205084841,248.39928,-19.479185,,,,,,,,,,,,,13.443,0.026,12.797,0.026,12.612,0.027,15.8276,0.0004,16.7438,0.0035,14.8742,0.0016,0.0011593999999999999,4.98e-05,4131264587452082944
EPIC205111664,243.680112,-19.346616,13.405,0.042,12.491,0.031,12.879,0.031,12.165,0.04,11.807,0.06,,,10.488,0.027,9.979,0.023,9.875,0.023,12.1351,0.0004,12.6777,0.001,11.4422,0.0011,0.0053566,0.0001484,6245607576304205952
EPIC205117205,242.561406,-19.319273,17.353,0.14,15.714,0.058,16.466,0.02,14.864,0.1,13.454,0.08,,,11.095,0.023,10.332,0.022,10.026,0.019,14.157,0.0009,15.7451,0.0046,12.9281,0.0018,0.007153,7.75e-05,6245758900889486720
EPIC205145448,248.448634,-19.17779,15.691,0.06,14.289,0.038,15.142,0.041,13.692,0.044,13.011,0.063,,,10.977,0.022,10.351,0.021,10.12,0.021,13.5906,0.0007,14.6039,0.0034,12.5893,0.0024,0.004247,3.0200000000000002e-05,4131325262452102528
EPIC205148699,253.160483,-19.16165,13.321,0.042,12.621,0.031,12.944,0.031,12.428,0.041,12.151,0.061,,,11.027,0.023,10.649,0.025,10.554,0.022,12.4132,0.0003,12.8337,0.0016,11.8203,0.001,0.0020811000000000002,0.0001133,4132067265306146560
EPIC205152172,245.180008,-19.14414,15.273,0.06,14.121,0.036,14.725,0.038,13.525,0.043,12.955,0.063,,,11.369,0.023,10.702,0.022,10.524,0.019,13.4865,0.0002,14.3149,0.0013,12.599,0.0006,0.0063074,2.35e-05,6245213817998911744
EPIC205242733,246.879897,-18.675165,,,,,,,,,,,,,11.321,0.023,10.729,0.022,10.487,0.023,13.8065,0.0003,14.7897,0.0022,12.8236,0.0008,0.00365,3.4500000000000005e-05,4323740969842041216
